song_name,artist,album,popularity,danceability,energy,valence,tempo
Shameless,Avenoir,Shameless,69,0.69,0.5,0.5,100
SMALL TOWN FAME,Drake,$ome $exy $ongs 4 U,66,0.66,0.5,0.5,100
Since 6ix,Key Glock,Glockoma,64,0.64,0.5,0.5,100
Slime You Out (feat. SZA),Drake,For All The Dogs,67,0.67,0.5,0.5,100
Fair Trade (with Travis Scott),Drake,Certified Lover Boy,79,0.79,0.5,0.5,100
Low Life (feat. The Weeknd),Future,EVOL,82,0.82,0.5,0.5,100
Under The Influence,Chris Brown,Indigo (Extended),84,0.84,0.5,0.5,100
Get Along Better,Drake,Certified Lover Boy,70,0.7,0.5,0.5,100
16,Baby Keem,The Melodic Blue,74,0.74,0.5,0.5,100
Drugs You Should Try It,Travis Scott,DAYS BEFORE RODEO,70,0.7,0.5,0.5,100
56 Nights,Future,56 Nights,61,0.61,0.5,0.5,100
CALYPSO,Bryson Tiller,Bryson Tiller,53,0.53,0.5,0.5,100
Broken Clocks,SZA,Ctrl,77,0.77,0.5,0.5,100
305,Jordan Adetunji,A Jaguar's Dream,63,0.63,0.5,0.5,100
GIRLS,The Kid LAROI,THE FIRST TIME (DELUXE VERSION),67,0.67,0.5,0.5,100
Don't,Bryson Tiller,T R A P S O U L,83,0.83,0.5,0.5,100
Embarrassed (feat. Travis Scott),Don Toliver,Love Sick (Deluxe),72,0.72,0.5,0.5,100
Exchange,Bryson Tiller,T R A P S O U L,78,0.78,0.5,0.5,100
The Way You Move,JayDon,Me My Songs & I,47,0.47,0.5,0.5,100
TIL FURTHER NOTICE (feat. James Blake & 21 Savage),Travis Scott,UTOPIA,75,0.75,0.5,0.5,100
